Bowler,id
TS Mills,0
S Aravind,1
STR Binny,2
S Badree,3
YS Chahal,4
P Negi,5
NM Coulter-Nile,6
UT Yadav,7
CR Woakes,8
C de Grandhomme,9
Imran Ali,10
Fiaz Ahmad,11
Abdullah Ghulam,12
Haroon Shahid,13
Mohammad Amin,14
Ali Zaheer,15
Adnan Idrees,16
Mohammed Awais,17
Nouman Sarwar,18
Mohammed Nadeem,19
Iqbal Hussain,20
Tamoor Sajjad,21
Iman-ul-Haq,22
MG Johnson,23
MJ McClenaghan,24
KV Sharma,25
JJ Bumrah,26
Harbhajan Singh,27
Washington Sundar,28
SN Thakur,29
JD Unadkat,30
BA Stokes,31
DT Christian,32
Imran Tahir,33
AC Thomas,34
J Botha,35
AW O'Brien,36
KW Richardson,37
BE McGain,38
XJ Doherty,39
JJ Krejza,40
RJG Lockyear,41
MJ Johnston,42
B Laughlin,43
Naved-ul-Hasan,44
B Lee,45
MA Starc,46
JR Hazlewood,47
DJ Bravo,48
SCG MacGill,49
SPD Smith,50
NM Hauritz,51
AC McDermott,52
JR Hopes,53
ND Buchanan,54
CA Lynn,55
LA Doran,56
CH Gayle,57
SJ Coyte,58
FH Edwards,59
SA Abbott,60
LR Butterworth,61
DP Nannes,62
SW Tait,63
SM Harwood,64
GJ Maxwell,65
Abdul Razzaq,66
Shahid Afridi,67
AB McDonald,68
DE Bollinger,69
JP Faulkner,70
JW Dernbach,71
CJ McKay,72
LJ Wright,73
DJ Hussey,74
SK Warne,75
AK Heal,76
NM Lyon,77
MA Beer,78
NJ Rimmington,79
MR Marsh,80
BM Edmondson,81
GB Hogg,82
PD Collingwood,83
BW Hilfenhaus,84
RJ Harris,85
MG Neser,86
DJ Thornely,87
MC Henriques,88
MJ North,89
CJ Borgas,90
CP Simpson,91
RE van der Merwe,92
MG Hogan,93
JM Bird,94
BG Drew,95
DR Salpietro,96
SNJ O'Keefe,97
NL McCullum,98
DL Vettori,99
ND Bills,100
MR Day,101
CR Swan,102
JEC Franklin,103
SP Narine,104
PP Chawla,105
Kuldeep Yadav,106
RA Tripathi,107
Mohammad Amir,108
Mohammad Abbas,109
Wahab Riaz,110
Yasir Shah,111
ST Gabriel,112
AS Joseph,113
JO Holder,114
D Bishoo,115
RL Chase,116
KC Brathwaite,117
NB Singh,118
Basil Thampi,119
AJ Tye,120
RA Jadeja,121
Ankit Soni,122
A Choudhary,123
TM Head,124
Z Khan,125
K Rabada,126
CJ Anderson,127
CH Morris,128
PJ Cummins,129
A Mishra,130
I Sharma,131
Anureet Singh,132
MM Sharma,133
AR Patel,134
KC Cariappa,135
B Kumar,136
A Nehra,137
S Kaul,138
DJ Hooda,139
Rashid Khan,140
DJ Harris,141
JM Muirhead,142
JM Herrick,143
BG McDonald,144
JK Lalor,145
IA Moran,146
AF Milne,147
DL Chahar,148
LH Ferguson,149
SL Malinga,150
KH Pandya,151
IK Pathan,152
SK Raina,153
Sandeep Sharma,154
T Natarajan,155
VR Aaron,156
Mohammed Shami,157
S Nadeem,158
YK Pathan,159
Mohammed Siraj,160
Bipul Sharma,161
HH Pandya,162
SR Watson,163
PJ Sangwan,164
DR Smith,165
J Yadav,166
Yuvraj Singh,167
DJ Willey,168
MA Wood,169
JT Ball,170
LE Plunkett,171
AU Rashid,172
JE Root,173
PKD Chase,174
TJ Murtagh,175
GH Dockrell,176
SR Thompson,177
Shadab Khan,178
Azhar Ali,179
MN Samuels,180
T Jamtsho,181
Tenzin Wangchuk jnr,182
DS Gurung,183
S Pradhan,184
Kumar Subba,185
T Singye,186
Bilal Mansoor,187
Azeem ul Haq,188
Tahir Dar,189
Babar Ali,190
Junaid Aziz,191
GSPR Arachchige,192
AS Rajpoot,193
DS Kulkarni,194
Mohammad Nabi,195
KJ O'Brien,196
BJ McCarthy,197
PR Stirling,198
MJ Henry,199
R Tewatia,200
Swapnil Singh,201
S Ismail,202
M Kapp,203
R Ntozakhe,204
M Daniels,205
J Nkomo,206
N Mutasa,207
N Sibanda,208
P Marange,209
J Goswami,210
M Joshi,211
S Pandey,212
E Bisht,213
DB Sharma,214
H Kaur,215
Rachel Delaney,216
AJ Kenealy,217
A Beggs,218
L Maritz,219
SM Kavanagh,220
GH Lewis,221
CR Brathwaite,222
Poonam Yadav,223
M Klaas,224
S Luus,225
N de Klerk,226
E Mbofana,227
M Musonda,228
T Granger,229
L Tshuma,230
AC Mushangwe,231
LC Boylan,232
A Zampa,233
P Kumar,234
MM Patel,235
TA Boult,236
TG Southee,237
R Vinay Kumar,238
L Little,239
L Paul,240
RS Gayakwad,241
SHA Rance,242
SC Kuggeleijn,243
JDS Neesham,244
C Munro,245
MJ Santner,246
IS Sodhi,247
Avesh Khan,248
HV Patel,249
Hasan Ali,250
Asad Shafiq,251
CJ Jordan,252
HK Bennett,253
Mashrafe Mortaza,254
Shakib Al Hasan,255
Mustafizur Rahman,256
Mehedi Hasan Miraz,257
Mahmudullah,258
Mosaddek Hossain,259
Rubel Hossain,260
Sunzamul Islam,261
CA Young,262
Simi Singh,263
S MacMahon,264
A Khaka,265
WD Parnell,266
AL Phehlukwayo,267
JP Duminy,268
MM Ali,269
D Pretorius,270
KA Maharaj,271
M Morkel,272
ST Finn,273
TS Roland-Jones,274
Nasir Hossain,275
JS Patel,276
Soumya Sarkar,277
Sabbir Rahman,278
JW Hastings,279
RAS Lakmal,280
N Pradeep,281
DAS Gunaratne,282
S Prasanna,283
JE Taylor,284
KOK Williams,285
Shapoor Zadran,286
Amir Hamza,287
Karim Janat,288
Samiullah Shenwari,289
Dawlat Zadran,290
Gulbadin Naib,291
Imad Wasim,292
Shoaib Malik,293
R Powell,294
Junaid Khan,295
Mohammad Hafeez,296
NLTC Perera,297
MD Gunathilaka,298
KM Jadhav,299
V Kohli,300
Taskin Ahmed,301
KS Williamson,302
R Ashwin,303
ML Cummins,304
AR Nurse,305
Fahim Ashraf,306
DM de Silva,307
Rumman Raees,308
Fakhar Zaman,309
Z Groenewald,310
SF Burger,311
JJ Smit,312
C Viljoen,313
JN Frylinck,314
BM Scholtz,315
SJ Baard,316
AC Evans,317
SM Sharif,318
CB Sole,319
MRJ Watt,320
CD de Lange,321
RD Berrington,322
T Lungameni,323
TL Chatara,324
R Ngarava,325
Sikandar Raza,326
AG Cremer,327
SC Williams,328
SF Mire,329
MA Leask,330
CB Mpofu,331
RP Burl,332
JH Davey,333
CS MacLeod,334
LA Dawson,335
MS Crane,336
JT Smuts,337
T Shamsi,338
TK Curran,339
D Paterson,340
LMM Tahuhu,341
HR Huddleston,342
SFM Devine,343
AM Peterson,344
AC Kerr,345
AE Satterthwaite,346
EM Bermingham,347
SW Bates,348
KDU Prabodhani,349
HHC Gunaratne,350
HASD Siriwardene,351
SS Weerakkody,352
I Ranaweera,353
AC Jayangani,354
PRCS Kumarihami,355
LE Kaushalya,356
JL Carter,357
A Shrubsole,358
KH Brunt,359
NR Sciver,360
D Hazell,361
JL Gunn,362
A Hartley,363
HC Knight,364
D van Niekerk,365
CL Tryon,366
Asmavia Iqbal,367
Sadia Yousuf,368
Sana Mir,369
Nashra Sandhu,370
Kainat Imtiaz,371
Bismah Maroof,372
JL Jonassen,373
ML Schutt,374
EA Perry,375
KM Beams,376
A Gardner,377
EJ Villani,378
SC Selman,379
SS Connell,380
SR Taylor,381
SF Daley,382
A Mohammed,383
DJS Dottin,384
HK Matthews,385
ASS Fletcher,386
Nahida Khan,387
MR Meshram,388
CN Nation,389
B Vakarewa,390
NE Bolton,391
DT Tiripano,392
A Dananjaya,393
MA Aponso,394
LD Madushanka,395
LA Marsh,396
KADA Kanchana,397
OU Ranasinghe,398
H Madavi,399
A Wellington,400
Diana Baig,401
Q Joseph,402
PVD Chameera,403
PADLR Sandakan,404
PWH de Silva,405
LM Kasperek,406
AK Peters,407
Marina Iqbal,408
SE Aley,409
CT Mumba,410
MN Waller,411
VD Philander,412
TB de Bruyn,413
T Bavuma,414
JM Anderson,415
SCJ Broad,416
HM Rowe,417
AM Fernando,418
KMDN Kulasekara,419
RL Haynes,420
Javeria Khan,421
K Gowtham,422
B Stanlake,423
BCJ Cutting,424
M Markande,425
K Khejroliya,426
Mujeeb Ur Rahman,427
AD Russell,428
Shivam Mavi,429
S Gopal,430
DJM Short,431
BB Sran,432
V Shankar,433
N Rana,434
JC Archer,435
MK Tiwary,436
MK Lomror,437
M Ashwin,438
L Ngidi,439
KM Asif,440
MP Stoinis,441
M Prasidh Krishna,442
Ankit Sharma,443
JPR Scantlebury-Searles,444
S Lamichhane,445
CJ Dala,446
KK Ahmed,447
NA Saini,448
S Dube,449
Rasikh Salam,450
KMA Paul,451
SM Curran,452
CV Varun,453
GC Viljoen,454
Mandeep Singh,455
P Ray Barman,456
GH Vihari,457
JP Behrendorff,458
RD Chahar,459
HF Gurney,460
S Midhun,461
R Parag,462
SN Khan,463
LS Livingstone,464
Abhishek Sharma,465
Arshdeep Singh,466
DW Steyn,467
CJ Green,468
AL Fekete,469
Fawad Ahmed,470
AJ Nair,471
DR Sams,472
SM Boland,473
EP Gulbis,474
MT Steketee,475
B Doggett,476
MJ Swepson,477
TLW Cooper,478
JD Wildermuth,479
CA Rose,480
AW Summers,481
CJ Boyce,482
CA Ingram,483
PM Siddle,484
JA Richardson,485
AC Agar,486
AJ Finch,487
M Labuschagne,488
BJ Dwarshuis,489
WER Somerville,490
TS Rogers,491
GS Sandhu,492
JA Burns,493
CJ Gannon,494
AC Voges,495
NJ Maddinson,496
L Bowe,497
MW Edwards,498
S Milenko,499
JS Paris,500
JR Coleman,501
HWR Cartwright,502
WG Bosisto,503
M Kelly,504
TT Bresnan,505
JM Holland,506
DJ Worrall,507
D Fallins,508
JL Denly,509
JS Floros,510
CP Tremain,511
KA Pollard,512
WA Agar,513
BR Dunk,514
RP Meredith,515
JM Mennie,516
LN O'Connor,517
MW Short,518
JL Pattinson,519
Usman Shinwari,520
Usman Qadir,521
SL Rainbird,522
N McAndrew,523
AJ Turner,524
L Pope,525
C Valente,526
JD Cook,527
GA West,528
JJS Sangha,529
BAD Manenti,530
JS Lehmann,531
AM Hardie,532
AP Devcich,533
MT Renshaw,534
C Green,535
TL O'Connell,536
JA Prestwidge,537
DJM Moody,538
JA Freeman,539
MP Kuhnemann,540
CD Hinchliffe,541
Qais Ahmad,542
SE Rutherford,543
Harpreet Brar,544
Y Prithvi Raj,545
O Thomas,546
AS Roy,547
S Sandeep Warrier,548
J Suchith,549
AK Markram,550
MR Adair,551
J Little,552
WB Rankin,553
SS Cottrell,554
I Udana,555
BMAJ Mendis,556
Hamid Hassan,557
Mohammad Saifuddin,558
Aftab Alam,559
Rahmat Shah,560
KAJ Roach,561
SACA King,562
CA Henry,563
KL Cross,564
S Ecclestone,565
C Raack,566
KJ Garth,567
AL Kerrison,568
K Ramharack,569
Shaheen Shah Afridi,570
TAM Siriwardana,571
BE Hendricks,572
BF Smith,573
DNA Ankrah,574
DK Anefie,575
V Ateak,576
IKO Aboagye,577
M Aboagye,578
KS Bagabena,579
Izatullah Dawlatzai,580
CAJ Meschede,581
Ahmed Wardak,582
Muslim Yar,583
Asad Mohammad,584
V Ganesan,585
ACF Stokes,586
W Peatfield,587
TCW Veillard,588
LC Le Tissier,589
DR Hooper,590
P Bhart,591
Junaid Sheikh,592
Hayatullah Niazi,593
S Waqas Ahmed,594
Raza Iqbal,595
Tafseer Ali,596
Delawar Khan,597
ND Laegsgaard,598
J Jojo,599
OD Hald,600
HAM Shah,601
SA Ahmad,602
Anique Uddin,603
Bashir Shah,604
WJR Robertson,605
AW Hawkins-Kay,606
DG Blampied,607
CW Perchard,608
B Ward,609
EJB Miles,610
Abdullah Sheikh,611
Walid Ghauri,612
J Sumerauer,613
BDH Stevens,614
GRD Munasinghe,615
NA Maiolo,616
Rakibul Hasan,617
Baljit Singh,618
Charanjeet Singh,619
MJ Ross,620
S Arachchige,621
MD Bimenyimana,622
M Vumiliya,623
J Nyirankundineza,624
V Iriho,625
Y Sangare,626
JL Martel,627
Sahir Naqash,628
Nazakat Ali,629
E Ul Haq,630
Abdul-Shakoor Rahimzei,631
Jaspreet Singh,632
Omar Hayat,633
FA Allen,634
LCN Smith,635
CAK Rajitha,636
JDF Vandersay,637
FDM Karunaratne,638
AD Mathews,639
Sayed Shirzad,640
DM Kimmince,641
SC Getkate,642
KM Jarvis,643
H Masakadza,644
M Faheem,645
K Senamontree,646
Z Hoque,647
Vichanath Singh,648
DF Jacobs,649
N Pathan,650
C Pengkumta,651
S Saeed,652
Ibrahim Hassan,653
Umar Adam,654
Ameel Mauroof,655
WJ Malinda,656
MNR Cooray,657
Mohamed Mahfooz,658
EC Bargna,659
ST Frohnmayer,660
PA Wadenpohl,661
AM Healey,662
MS Beresford,663
CM Gough,664
KE Bryce,665
PA Chatterji,666
AH Maqsood,667
RV Scholes,668
K Fraser,669
K McGill,670
TE Kane,671
Rahat Ali,672
Faheem Ashraf,673
Haris Sohail,674
G Wareham,675
KL Gordon,676
GA Elwiss,677
S Molineux,678
TJ Vlaeminck,679
Yamin Ahmadzai,680
Wafadar Momand,681
Waqar Salamkheil,682
AR McBrine,683
J Cameron-Dow,684
A Balbirnie,685
GJ Delany,686
L Delany,687
Inam-ul-Haq,688
V Baskaran,689
Janak Prakash,690
Amjad Mahboob,691
S Vijayakumar,692
A Krishna,693
CR Suryawanshi,694
R Rohan,695
Muhammad Kashif,696
Ilyas Ahmed,697
Mohammad Ahsan,698
Nawaf Ahmed,699
MNM Aslam,700
Shiraz Khan,701
Syed Aziz,702
Pavandeep Singh,703
Fitri Sham,704
M Syahadat Ramli,705
S Muniandy,706
Anwar Rahman,707
Sompal Kami,708
Karan KC,709
LN Rajbanshi,710
B Regmi,711
P Khadka,712
NCK Liyanage,713
Virandeep Singh,714
P Sarraf,715
A Bohara,716
OP Stone,717
MJ Leach,718
Jandu Hamoud,719
Meet Bhavsar,720
Gayan Munaweera,721
Musawar Shah,722
S Vesawkar,723
Shafiul Islam,724
CBRLS Kumara,725
MK Villiers,726
CA Liyanage,727
S Hongsi,728
Md Shafiqul Haque,729
Taijul Islam,730
Nazril Rahman,731
Anowarul Islam,732
NA Janes,733
M McColl,734
S Haggo,735
IJR Zwilling,736
HWA Landheer,737
C de Lange,738
HDJ Siegers,739
S Siegers,740
SL Kalis,741
SR McAnanama-Brereton,742
JE Ronalds,743
AS van Beuge,744
GSNFG Jayasuriya,745
MD Shanaka,746
MS Wade,747
K Pierre,748
FJ Klaassen,749
BD Glover,750
PA van Meekeren,751
PM Seelaar,752
W Barresi,753
DI Dusabemungu,754
H Ishimwe,755
JM Apio,756
M Anyigo,757
S Kakai,758
S Nampiina,759
G Obukor,760
S Walaza,761
C Anayo,762
E Anyipo,763
I Nakisuuyi,764
R Musamali,765
P Alako,766
PZ Mamunya,767
NN Saidi,768
TS Omary,769
FO Kibasu,770
NO Tindo,771
W Kevin,772
EN Lynch,773
F Overdijk,774
O Prendergast,775
H Little,776
EAJ Richardson,777
C Sutthiruang,778
N Boochatham,779
S Laomi,780
R Padunglerd,781
S Tippoch,782
RK Willis,783
A Aitken,784
HRA Rainey,785
RS Glen,786
LK Bennett,787
O Kamchomphu,788
L Klokgieters,789
A Hogg,790
M Zwilling,791
Sultan Ahmed (2),792
Qadeer Ahmed,793
Ashfaq Ahmed,794
Ahmed Raza,795
Waheed Ahmed,796
VJ Kingma,797
HC Overdijk,798
TS Braat,799
PRP Boissevain,800
Sikander Zulfiqar,801
MP O'Dowd,802
Mohammad Naveed,803
Rohan Mustafa,804
Zahoor Khan,805
Saqib Zulfiqar,806
L Embuldeniya,807
AY Patel,808
Bilal Khan,809
Kaleemullah,810
Fayyaz Butt,811
Jay Odedra,812
Zeeshan Maqsood,813
Khawar Ali,814
Aqib Ilyas,815
N Pokana,816
N Vanua,817
D Ravu,818
CJA Amini,819
A Vala,820
CA Soper,821
Mohammad Nadeem,822
Aamir Kaleem,823
A Neill,824
TB Sole,825
GT Main,826
Hamza Tahir,827
S Bau,828
L Siaka,829
AV Lalcheta,830
SN Netravalkar,831
Jasdeep Singh,832
Steven Ryan Taylor,833
TP Allen,834
HR Walsh,835
NK Patel,836
GH O'Brien,837
DMW Rawlins,838
JE Pitcher,839
RJ Trott,840
KS Leverock,841
MO Jones,842
C Wright,843
KR Ebanks,844
AF Ifill,845
T Taylor,846
A Morris,847
YSD Seneveratne,848
P Manning,849
Junaid Siddiqui,850
GDR Eranga,851
D Heyliger,852
Saad Bin Zafar,853
N Dutta,854
NS Dhaliwal,855
M Mooketsi,856
D Kegasitswe,857
R Nehonde,858
B Khumalo,859
D Maisuria,860
T Perera,861
Ameer Saiyed,862
HN Ya France,863
B Shikongo,864
MG Erasmus,865
CG Williams,866
N Shangase,867
Rameen Shamim,868
Aliya Riaz,869
Nida Dar,870
Fatima Sana,871
TS Sekhukhune,872
A Ndlovu,873
JD Campbell,874
MDK Perera,875
H Hiri,876
NR Kumar,877
DL Brangman,878
TK Patel,879
Aaron Jones,880
LHB Harrington-Myers,881
OGL Bascome,882
K Gore,883
Z McLaughlin,884
AC Douglas,885
MR Montfort,886
DC Stovell,887
A Rangaswamy,888
P Silas,889
Mohammad Hasnain,890
Abu Jayed,891
Amir Mangal,892
JWN Moses,893
N Master,894
K Modise,895
C Waiswa,896
F Nsubuga,897
E Isaneez,898
H Ssenyondo,899
D Muhumuza,900
DM Nakrani,901
Riazat Ali Shah,902
B Masaba,903
RG Mukasa,904
G Bakiweyem,905
JK Vifah,906
IO Okpe,907
Mohameed Taiwo,908
VD Adewoye,909
I Danladi,910
CM Akachukwu,911
SA Okpe,912
AM Oyede,913
R Olipa,914
SO Ngoche,915
E Otieno,916
LN Oluoch,917
NM Odhiambo,918
SR Bhudia,919
CO Obuya,920
GK Diviya,921
DH Sharma,922
T Wang Ling,923
Roshni Ramesh,924
Smruthi Radhakrishnan,925
Shafia Hassan,926
WA Duraisingam,927
Noor Hayati Zakaria,928
Nur Arianna Natsya,929
Wan Nor Zulaika,930
Nur Nadihirah,931
Christina Baret,932
Mas Elysa,933
Ainna Hamizah Hashim,934
C Overton,935
Mahewish Khan,936
A Perera,937
Saniyah Zia,938
Hiba Shamshad,939
KN Mirchandani,940
Hala Azmat,941
L Ramjit,942
C Beckford,943
S Farooq,944
OT Wallerson,945
S Ramautar,946
U Iftikhar,947
G Kodali,948
E Ochieng,949
P Kerai,950
T Tshose,951
A Nortje,952
BC Fortuin,953
RRS Cornwall,954
TD Astle,955
I Muhawenimana,956
D Igihozo,957
A Ikuzwe,958
T Abdulquadri,959
F Eseigbe,960
M Desmond,961
B Etim,962
R Samson,963
S Sunday,964
R Oa,965
NM Ambo,966
V Araa,967
M Tom,968
S Jimmy,969
K Oala,970
Jahanara Alam,971
Salma Khatun,972
Ritu Moni,973
